ID,Vendor,Country,Product_Group,Sub_Classification,Shipment_Mode,Year,Quarter,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Freight_Type,Freight_Cost_USD,Line_Item_Value,Freight_Cost_Ratio,Dosage_Applicable,Weight_Kilograms
116,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,ARV,Adult,Air,2007,3,0,On Time,On Time,Separate,1767.38,41095.0,4.3,Applicable,117.0
130,"Orgenics, Ltd",Haiti,HRDT,HIV test,Air,2007,3,8,Late,Late,Separate,3518.38,53992.5,6.52,Not Applicable,171.0
134,Orasure Technologies Inc.,Haiti,HRDT,HIV test,Air,2007,3,0,On Time,On Time,Separate,3097.85,8750.0,35.4,Not Applicable,60.0
138,"Standard Diagnostics, Inc.",Tanzania,HRDT,HIV test,Air,2007,4,0,On Time,On Time,Separate,27869.74,200000.0,13.93,Not Applicable,3335.0
139,"Standard Diagnostics, Inc.",Tanzania,HRDT,HIV test,Air,2007,4,0,On Time,On Time,Separate,28461.1,200000.0,14.23,Not Applicable,3335.0
140,"Standard Diagnostics, Inc.",Tanzania,HRDT,HIV test,Air,2007,4,0,On Time,On Time,Separate,28359.8,200000.0,14.18,Not Applicable,3335.0
161,Aurobindo Pharma Limited,Ethiopia,ARV,Adult,Air,2007,4,0,On Time,On Time,Separate,12237.61,99200.0,12.34,Applicable,4228.0
176,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,HRDT,HIV test,Air,2007,4,0,On Time,On Time,Separate,20885.78,270000.0,7.74,Not Applicable,3263.0
269,"GILEAD SCIENCES IRELAND, INC.",Vietnam,ARV,Adult,Air,2008,1,0,On Time,On Time,Separate,2282.57,17000.0,13.43,Applicable,76.0
270,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Vietnam,ARV,Adult,Air,2008,1,0,On Time,On Time,Separate,2149.05,3352.0,64.11,Applicable,23.0
284,"Orgenics, Ltd",Rwanda,HRDT,HIV test - Ancillary,Air,2008,1,0,On Time,On Time,Separate,0.75,15.0,5.0,Not Applicable,99.0
305,"Orgenics, Ltd",Nigeria,HRDT,HIV test - Ancillary,Air,2008,1,0,On Time,On Time,Absorbed,,6.5,,Not Applicable,
361,"Trinity Biotech, Plc",Haiti,HRDT,HIV test,Air,2008,1,0,On Time,On Time,Absorbed,,278.0,,Not Applicable,
391,BIO-RAD LABORATORIES (FRANCE),Côte d'Ivoire,HRDT,HIV test,Air,2008,2,0,On Time,On Time,Separate,5446.51,36176.0,15.06,Not Applicable,509.0
392,"Standard Diagnostics, Inc.",Côte d'Ivoire,HRDT,HIV test,Air,2009,1,0,On Time,On Time,Separate,2656.12,13180.0,20.15,Not Applicable,206.0
398,"Orgenics, Ltd",Guyana,HRDT,HIV test - Ancillary,Air,2008,2,-8,On Time,Early,Absorbed,,2.4,,Not Applicable,
399,"Orgenics, Ltd",Guyana,HRDT,HIV test - Ancillary,Air,2008,3,0,On Time,On Time,Separate,360.0,2.13,16901.41,Not Applicable,14.0
410,"Orgenics, Ltd",Zimbabwe,HRDT,HIV test,Air,2008,4,0,On Time,On Time,Separate,4112.46,117631.66,3.5,Not Applicable,373.0
411,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,HRDT,HIV test,Air,2008,2,0,On Time,On Time,Separate,5468.88,38475.0,14.21,Not Applicable,483.0
414,"Orgenics, Ltd",Namibia,HRDT,HIV test,Air,2008,2,0,On Time,On Time,Separate,1715.17,10222.58,16.78,Not Applicable,33.0
420,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,ARV,Adult,Air,2008,2,0,On Time,On Time,Separate,4051.34,96432.0,4.2,Applicable,654.0
422,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2008,2,0,On Time,On Time,Absorbed,,405.06,,Applicable,
423,S. BUYS WHOLESALER,South Africa,ARV,Pediatric,Truck,2008,2,0,On Time,On Time,Absorbed,,870.0,,Applicable,
438,BRISTOL-MYERS SQUIBB,Vietnam,ARV,Pediatric,Air,2008,3,0,On Time,On Time,Separate,2211.05,2800.0,78.97,Applicable,81.0
464,"Orgenics, Ltd",Nigeria,HRDT,HIV test,Air,2008,3,0,On Time,On Time,Separate,16090.22,439785.02,3.66,Not Applicable,1251.0
465,"Orgenics, Ltd",Nigeria,HRDT,HIV test - Ancillary,Air,2008,3,-5,On Time,Early,Absorbed,,54.98,,Not Applicable,
466,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Ethiopia,HRDT,HIV test,Air,2008,2,0,On Time,On Time,Absorbed,,691.42,,Not Applicable,
530,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,ARV,Adult,Air,2008,3,0,On Time,On Time,Separate,13507.92,18359.04,73.58,Applicable,1537.0
531,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2008,3,0,On Time,On Time,Absorbed,,103.4,,Applicable,
532,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2008,3,-104,On Time,Early,Absorbed,,1906.0,,Applicable,
533,S. BUYS WHOLESALER,South Africa,ARV,Pediatric,Truck,2008,3,-104,On Time,Early,Absorbed,,1025.1,,Applicable,
535,BRISTOL-MYERS SQUIBB,Tanzania,ARV,Adult,Air,2008,3,0,On Time,On Time,Separate,645.1,61470.99,1.05,Applicable,117.0
543,Orasure Technologies Inc.,Haiti,HRDT,HIV test,Air,2008,3,0,On Time,On Time,Separate,782.13,9800.0,7.98,Not Applicable,109.0
551,"Trinity Biotech, Plc",Haiti,HRDT,HIV test,Air,2008,4,0,On Time,On Time,Separate,871.57,11676.0,7.46,Not Applicable,54.0
598,S. BUYS WHOLESALER,South Africa,ARV,Adult,Truck,2008,2,-3,On Time,Early,Absorbed,,1049.4,,Applicable,
610,Aurobindo Pharma Limited,Vietnam,ARV,Adult,Air,2008,3,0,On Time,On Time,Separate,18614.72,92736.0,20.07,Applicable,2719.0
630,IDA FOUNDATION,Nigeria,ACT,ACT,Air,2009,1,-169,On Time,Early,Separate,1755.87,1547.68,113.45,Applicable,115.0
637,Aurobindo Pharma Limited,Vietnam,ARV,Adult,Air,2008,4,0,On Time,On Time,Separate,10179.16,60900.0,16.71,Applicable,2600.0
646,S. BUYS WHOLESALER,South Africa,ARV,Pediatric,Truck,2008,3,-2,On Time,Early,Absorbed,,696.5,,Applicable,
660,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,ARV,Adult,Air,2008,4,0,On Time,On Time,Separate,4686.88,171192.0,2.74,Applicable,1224.0
668,ZEPHYR BIOMEDICALS,Guyana,MRDT,Malaria,Air,2008,3,0,On Time,On Time,Separate,180.0,3675.0,4.9,Not Applicable,34.0
670,"Orgenics, Ltd",Zambia,HRDT,HIV test,Air,2008,4,0,On Time,On Time,Separate,11062.05,323955.0,3.41,Not Applicable,1053.0
712,"Trinity Biotech, Plc",Namibia,HRDT,HIV test,Air,2008,3,0,On Time,On Time,Absorbed,,320.0,,Not Applicable,
717,BIO-RAD LABORATORIES (FRANCE),Côte d'Ivoire,HRDT,HIV test,Air,2008,4,0,On Time,On Time,Separate,11298.13,38000.0,29.73,Not Applicable,562.0
719,IDA FOUNDATION,Côte d'Ivoire,ACT,ACT,Air,2009,1,0,On Time,On Time,Separate,12830.91,9750.0,131.6,Applicable,1708.0
772,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Nigeria,ARV,Adult,Air,2009,1,29,Late,Late,Absorbed,,453.6,,Applicable,
791,"Orgenics, Ltd",Namibia,HRDT,HIV test,Air,2008,4,0,On Time,On Time,Separate,2698.04,10798.5,24.99,Not Applicable,46.0
