ID,Country,Vendor,Shipment_Mode,Year,Quarter,Month,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Delay_Days,On_Time_Delivery,Delivery_Status,Product_Group,Line_Item_Value,Freight_Cost_USD,Freight_Type,Weight_Kilograms,Freight_Cost_Ratio
1222,South Africa,S. BUYS WHOLESALER,Truck,2009,4,10,2009-10-12,2009-08-05,-68,On Time,Early,ARV,41300.0,,Absorbed,,
1223,South Africa,S. BUYS WHOLESALER,Truck,2009,4,10,2009-10-12,2009-07-28,-76,On Time,Early,ARV,2838.2,,Absorbed,,
1245,Côte d'Ivoire,BIO-RAD LABORATORIES (FRANCE),Air,2006,2,6,2006-06-27,2006-06-27,0,On Time,On Time,HRDT,11076.45,1816.57,Separate,165.0,16.4
1246,Côte d'Ivoire,Orasure Technologies Inc.,Air,2006,3,7,2006-07-14,2006-07-14,0,On Time,On Time,HRDT,2400.0,1039.5,Separate,15.0,43.31
1251,Vietnam,BRISTOL-MYERS SQUIBB,Air,2006,4,11,2006-11-16,2006-11-16,0,On Time,On Time,ARV,19600.0,3292.15,Separate,555.0,16.8
1262,Haiti,Orasure Technologies Inc.,Air,2006,4,11,2006-11-09,2006-11-09,0,On Time,On Time,HRDT,6000.0,1195.29,Separate,36.0,19.92
1279,Zimbabwe,INTERNATIONAL HEALTHCARE DISTRIBUTORS,Air,2006,4,11,2006-11-07,2006-11-07,0,On Time,On Time,ARV,11096.8,,Absorbed,135.0,
1281,Nigeria,Aurobindo Pharma Limited,Air,2006,4,12,2006-12-07,2006-12-07,0,On Time,On Time,ARV,2994.9,4861.14,Separate,479.0,162.31
1282,Vietnam,CIPLA LIMITED,Air,2007,1,3,2007-03-14,2007-03-14,0,On Time,On Time,ARV,276100.0,18772.94,Separate,2575.0,6.8
1283,Vietnam,STRIDES ARCOLAB LIMITED,Air,2007,1,3,2007-03-14,2007-03-14,0,On Time,On Time,ARV,144205.0,42453.21,Separate,9170.0,29.44
1285,Guyana,"Trinity Biotech, Plc",Air,2006,4,12,2006-12-29,2006-12-29,0,On Time,On Time,HRDT,36000.0,4989.87,Separate,316.0,13.86
1295,Mozambique,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Air,2007,1,2,2007-02-15,2007-02-15,0,On Time,On Time,ARV,3288.0,,Absorbed,25.0,
1298,Vietnam,CIPLA LIMITED,Air,2007,2,5,2007-05-12,2007-05-12,0,On Time,On Time,ARV,525000.0,31858.09,Separate,6813.0,6.07
1299,Rwanda,CIPLA LIMITED,Air,2007,1,2,2007-02-27,2007-02-27,0,On Time,On Time,ARV,1087970.4,,Absorbed,,
1300,Rwanda,CIPLA LIMITED,Air,2007,1,2,2007-02-27,2007-02-27,0,On Time,On Time,ARV,202340.5,,Absorbed,,
1303,Ethiopia,Abbott GmbH & Co. KG,Air,2006,4,12,2006-12-28,2006-12-28,0,On Time,On Time,HRDT,16000.0,,Absorbed,,
1306,Vietnam,CIPLA LIMITED,Air,2007,3,8,2007-08-24,2007-08-24,0,On Time,On Time,ARV,187500.0,21439.59,Separate,2348.0,11.43
1307,Nigeria,BIO-RAD LABORATORIES (FRANCE),Air,2007,1,3,2007-03-15,2007-03-30,15,Late,Late,HRDT,28500.0,4445.75,Separate,402.0,15.6
1309,Ethiopia,Abbott GmbH & Co. KG,Air,2007,1,1,2007-01-15,2007-01-15,0,On Time,On Time,HRDT,372000.0,24859.45,Separate,1707.0,6.68
1337,Côte d'Ivoire,BRISTOL-MYERS SQUIBB,Air,2007,4,10,2007-10-23,2007-10-23,0,On Time,On Time,ARV,14981.5,,Absorbed,306.0,
1347,Nigeria,Abbott GmbH & Co. KG,Air,2007,3,9,2007-09-07,2007-09-07,0,On Time,On Time,HRDT,280000.0,5858.57,Separate,1194.0,2.09
1350,Côte d'Ivoire,BRISTOL-MYERS SQUIBB,Air,2007,4,10,2007-10-02,2007-10-02,0,On Time,On Time,ARV,40565.0,,Absorbed,,
1356,Vietnam,Aurobindo Pharma Limited,Air,2007,4,10,2007-10-02,2007-10-02,0,On Time,On Time,ARV,1920.0,13762.41,Separate,960.0,716.79
1357,Vietnam,Aurobindo Pharma Limited,Air,2007,4,10,2007-10-02,2007-10-02,0,On Time,On Time,ARV,2100.0,,Absorbed,,
1358,Vietnam,Aurobindo Pharma Limited,Air,2007,4,10,2007-10-15,2007-10-15,0,On Time,On Time,ARV,2100.0,,Absorbed,,
1359,Vietnam,Aurobindo Pharma Limited,Air,2007,4,10,2007-10-15,2007-10-15,0,On Time,On Time,ARV,40500.0,4454.62,Separate,332.0,11.0
1360,Vietnam,Aurobindo Pharma Limited,Air,2007,4,11,2007-11-23,2007-11-23,0,On Time,On Time,ARV,277425.0,16095.39,Separate,1955.0,5.8
